,Data,Temperatura Mínima,Temperatura Máxima
506,1962-05-12,"7,8","21,6"
507,1962-05-13,"8,6","21,6"
508,1962-05-14,"6,0","19,6"
509,1962-05-15,"9,4","20,4"
510,1962-05-16,"11,4","21,2"
511,1962-05-17,"13,2","16,0"
512,1962-05-18,"13,4","14,8"
513,1962-05-19,"13,6","19,8"
514,1962-05-20,"14,2","20,4"
515,1962-05-21,"14,4","23,4"
516,1962-05-22,"14,6","20,0"
517,1962-05-23,"11,8","19,0"
518,1962-05-24,"4,0","22,0"
519,1962-05-25,"7,8","22,0"
520,1962-05-26,"10,2","21,2"
521,1962-05-27,"10,4","18,8"
522,1962-05-28,"8,4","16,8"
523,1962-05-29,"1,0","10,0"
524,1962-05-30,"-3,6","12,2"
525,1962-05-31,"0,8","13,4"
526,1962-06-01,"5,2","18,2"
527,1962-06-02,"10,8","14,6"
528,1962-06-03,"4,4","14,4"
529,1962-06-04,"1,8","15,6"
530,1962-06-05,"4,0","15,6"
531,1962-06-06,"6,0","13,6"
532,1962-06-07,"9,4","17,6"
533,1962-06-08,"10,2","18,2"
534,1962-06-09,"8,2","18,4"
535,1962-06-10,"2,2","14,6"
536,1962-06-11,"0,4","14,2"
537,1962-06-12,"2,6","17,2"
538,1962-06-13,"3,0","14,8"
539,1962-06-14,"3,8","14,4"
540,1962-06-15,"3,8","12,6"
541,1962-06-16,"3,4","13,6"
542,1962-06-17,"4,2","18,2"
543,1962-06-18,"6,0","20,6"
544,1962-06-19,"8,2","20,4"
545,1962-06-20,"8,6","21,2"
546,1962-06-21,"11,6","16,6"
547,1962-06-22,"5,2","14,2"
548,1962-06-23,"2,2","15,0"
549,1962-06-24,"3,6","18,6"
550,1962-06-25,"8,6","22,4"
551,1962-06-26,"13,8","24,0"
552,1962-06-27,"13,2","23,8"
553,1962-06-28,"11,6","23,4"
554,1962-06-29,"10,2","22,8"
555,1962-06-30,"8,2","22,0"
556,1962-07-01,"7,6","22,8"
557,1962-07-02,"7,8","20,6"
558,1962-07-03,"8,6","19,6"
559,1962-07-04,"10,4","20,2"
560,1962-07-05,"1,6","11,2"
561,1962-07-06,"0,4","4,8"
562,1962-07-07,"1,6","13,0"
563,1962-07-08,"5,6","11,8"
564,1962-07-09,"8,4","16,4"
565,1962-07-10,"6,2","15,2"
566,1962-07-11,"6,2","17,8"
567,1962-07-12,"3,8","21,2"
568,1962-07-13,"4,4","20,6"
569,1962-07-14,"8,0","20,0"
570,1962-07-15,"10,8","21,0"
571,1962-07-16,"6,2","17,0"
572,1962-07-17,"2,0","20,0"
573,1962-07-18,"4,8","14,2"
574,1962-07-19,"8,2","16,2"
575,1962-07-20,"4,0","15,6"
576,1962-07-21,"3,2","17,2"
577,1962-07-22,"6,8","20,4"
578,1962-07-23,"9,2","19,2"
579,1962-07-24,"7,8","17,6"
580,1962-07-25,"3,4","12,0"
581,1962-07-26,"2,2","15,8"
582,1962-07-27,"6,8","15,2"
583,1962-07-28,"9,4","16,8"
584,1962-07-29,"7,2","14,8"
585,1962-07-30,"9,4","16,0"
586,1962-07-31,"6,6","18,2"
587,1962-08-01,"6,6","19,4"
588,1962-08-02,"7,2","21,2"
589,1962-08-03,"11,0","21,2"
590,1962-08-04,"11,4","23,2"
591,1962-08-05,"12,4","24,2"
592,1962-08-06,"12,6","24,2"
593,1962-08-07,"12,8","24,2"
594,1962-08-08,"11,6","24,2"
595,1962-08-09,"12,6","24,6"
596,1962-08-10,"13,6","19,0"
597,1962-08-11,"7,0","14,4"
598,1962-08-12,"1,4","15,2"
599,1962-08-13,"4,4","21,6"
600,1962-08-14,"5,4","20,4"
601,1962-08-15,"5,4","21,4"
602,1962-08-16,"10,4","14,2"
603,1962-08-17,"5,6","20,4"
604,1962-08-18,"7,0","23,6"
605,1962-08-19,"9,4","21,6"
606,1962-08-20,"8,6","21,2"
607,1962-08-21,"8,8","22,2"
608,1962-08-22,"10,0","17,0"
609,1962-08-23,"5,8","12,8"
610,1962-08-24,"2,6","15,0"
611,1962-08-25,"3,0","20,2"
612,1962-08-26,"6,6","25,2"
613,1962-08-27,"8,4","26,6"
614,1962-08-28,"11,2","27,8"
615,1962-08-29,"13,0","23,2"
616,1962-08-30,"12,8","16,8"
617,1962-08-31,"11,0","22,2"
618,1962-09-01,"9,2","22,6"
619,1962-09-02,"9,0","25,4"
620,1962-09-03,"13,2","26,0"
621,1962-09-04,"14,8","22,0"
622,1962-09-05,"13,8","25,8"
623,1962-09-06,"15,0","25,4"
624,1962-09-07,"16,0","26,4"
625,1962-09-08,"15,0","20,0"
626,1962-09-09,"9,2","15,2"
627,1962-09-10,"11,6","24,0"
628,1962-09-11,"14,8","24,2"
629,1962-09-12,"12,2","19,0"
630,1962-09-13,"10,0","15,8"
631,1962-09-14,"10,2","18,2"
632,1962-09-15,"9,4","22,8"
633,1962-09-16,"11,4","25,0"
634,1962-09-17,"14,0","26,8"
635,1962-09-18,"13,8","21,0"
636,1962-09-19,"12,4","17,8"
637,1962-09-20,"11,4","14,2"
638,1962-09-21,"12,0","18,2"
639,1962-09-22,"10,2","19,0"
640,1962-09-23,"8,2","19,0"
641,1962-09-24,"6,4","19,6"
642,1962-09-25,"8,8","22,0"
643,1962-09-26,"9,2","23,2"
644,1962-09-27,"10,6","24,6"
645,1962-09-28,"10,6","22,2"
646,1962-09-29,"13,8","22,4"
647,1962-09-30,"13,6","21,6"
648,1962-10-01,"13,4","22,0"
649,1962-10-02,"13,0","20,1"
650,1962-10-03,"12,6","17,6"
651,1962-10-04,"11,6","17,4"
652,1962-10-05,"8,4","25,4"
653,1962-10-06,"11,2","22,6"
654,1962-10-07,"9,8","21,0"
655,1962-10-08,"13,0","21,6"
656,1962-10-09,"10,6","19,0"
657,1962-10-10,"12,6","18,0"
658,1962-10-11,"11,6","16,2"
659,1962-10-12,"8,6","20,0"
660,1962-10-13,"6,2","20,8"
661,1962-10-14,"7,2","22,4"
662,1962-10-15,"10,4","23,6"
663,1962-10-16,"11,4","24,6"
664,1962-10-17,"12,8","15,4"
665,1962-10-18,"14,6","17,4"
666,1962-10-19,"12,0","16,2"
667,1962-10-20,"8,0","20,2"
668,1962-10-21,"5,8","19,2"
669,1962-10-22,"7,2","21,6"
670,1962-10-23,"8,4","23,2"
671,1962-10-24,"11,8","17,6"
672,1962-10-25,"11,8","20,2"
673,1962-10-26,"11,0","25,0"
674,1962-10-27,"12,6","24,8"
675,1962-10-28,"13,8","22,6"
676,1962-10-29,"10,2","17,8"
677,1962-10-30,"7,4","13,4"
678,1962-10-31,"9,0","18,4"
679,1962-11-01,"7,6","22,4"
680,1962-11-02,"11,2","24,6"
681,1962-11-03,"13,0","27,4"
682,1962-11-04,"16,6","28,8"
683,1962-11-05,"14,6","26,8"
684,1962-11-06,"14,2","19,4"
685,1962-11-07,"11,2","17,6"
686,1962-11-08,"11,0","15,2"
687,1962-11-09,"10,2","22,0"
688,1962-11-10,"10,2","23,2"
689,1962-11-11,"8,4","22,4"
690,1962-11-12,"7,6","23,2"
691,1962-11-13,"8,4","24,8"
692,1962-11-14,"10,8","27,6"
693,1962-11-15,"11,2","27,6"
694,1962-11-16,"13,0","27,6"
695,1962-11-17,"15,0","25,6"
696,1962-11-18,"14,4","23,0"
697,1962-11-19,"16,2","21,8"
698,1962-11-20,"16,0","22,2"
699,1962-11-21,"11,4","23,0"
700,1962-11-22,"12,2","23,0"
701,1962-11-23,"11,0","24,0"
702,1962-11-24,"12,2","26,4"
703,1962-11-25,"15,2","28,4"
704,1962-11-26,"15,8","29,4"
705,1962-11-27,"16,0","30,4"
706,1962-11-28,"17,8","29,2"
707,1962-11-29,"18,0","25,6"
708,1962-11-30,"16,4","28,0"
709,1962-12-01,"15,4","26,0"
710,1962-12-02,"16,8","27,0"
711,1962-12-03,"15,8","24,6"
712,1962-12-04,"15,8","21,4"
713,1962-12-05,"14,0","18,0"
714,1962-12-06,"11,4","19,6"
715,1962-12-07,"11,4","23,0"
716,1962-12-08,"12,4","25,8"
717,1962-12-09,"15,0","26,6"
718,1962-12-10,"15,0","27,2"
719,1962-12-11,"13,6","27,4"
720,1962-12-12,"16,8","28,2"
721,1962-12-13,"16,8","27,4"
722,1962-12-14,"11,6","22,0"
723,1962-12-15,"9,8","23,4"
724,1962-12-16,"12,8","23,0"
725,1962-12-17,"14,6","27,8"
726,1962-12-18,"16,2","27,8"
727,1962-12-19,"15,6","26,6"
728,1962-12-20,"13,6","27,0"
729,1962-12-21,"14,2","28,8"
730,1962-12-22,"16,0","30,2"
731,1962-12-23,"15,4","29,6"
732,1962-12-24,"16,4","30,2"
733,1962-12-25,"15,2","28,8"
734,1962-12-26,"15,2","25,2"
735,1962-12-27,"16,6","27,6"
736,1962-12-28,"13,8","28,4"
737,1962-12-29,"16,0","26,0"
738,1962-12-30,"18,0","30,2"
739,1962-12-31,"17,8","24,8"
740,1963-01-01,"17,2","29,6"
741,1963-01-02,"17,4","30,4"
742,1963-01-03,"19,0","31,0"
743,1963-01-04,"16,4","29,0"
744,1963-01-05,"17,2","30,6"
745,1963-01-06,"17,6","31,6"
746,1963-01-07,"18,6","30,6"
747,1963-01-08,"18,6","23,6"
748,1963-01-09,"18,4","27,2"
749,1963-01-10,"18,2","26,2"
750,1963-01-11,"15,6","20,0"
751,1963-01-12,"14,4","23,0"
752,1963-01-13,"16,8","26,4"
753,1963-01-14,"17,6","22,8"
754,1963-01-15,"17,2","27,2"
755,1963-01-16,"16,2","23,6"
756,1963-01-17,"17,2","23,4"
757,1963-01-18,"13,0","21,2"
758,1963-01-19,"15,8","26,4"
759,1963-01-20,"16,8","27,6"
760,1963-01-21,"16,2","28,8"
761,1963-01-22,"17,0","22,6"
