,Data,Temperatura Mínima,Temperatura Máxima,"('Data', 'Temperatura mínima', 'Temperatura máxima')"
453,1962-03-19,22.2,31.0,1962-03-19
454,1962-03-20,21.7,30.2,1962-03-20
455,1962-03-21,22.8,30.6,1962-03-21
456,1962-03-22,22.4,32.0,1962-03-22
457,1962-03-23,22.7,27.4,1962-03-23
458,1962-03-24,22.1,26.6,1962-03-24
459,1962-03-25,21.7,31.5,1962-03-25
460,1962-03-26,22.8,32.1,1962-03-26
461,1962-03-27,22.7,30.6,1962-03-27
462,1962-03-28,22.3,29.9,1962-03-28
463,1962-03-29,22.4,32.2,1962-03-29
464,1962-03-30,22.5,32.1,1962-03-30
465,1962-03-31,23.2,29.6,1962-03-31
466,1962-04-01,22.3,30.3,1962-04-01
467,1962-04-02,23.0,32.5,1962-04-02
468,1962-04-03,23.4,32.7,1962-04-03
469,1962-04-04,23.0,28.4,1962-04-04
470,1962-04-05,23.3,27.2,1962-04-05
471,1962-04-06,23.0,32.0,1962-04-06
472,1962-04-07,23.2,33.1,1962-04-07
473,1962-04-08,23.2,29.0,1962-04-08
474,1962-04-09,22.9,30.5,1962-04-09
475,1962-04-10,23.4,31.1,1962-04-10
476,1962-04-11,23.3,28.7,1962-04-11
477,1962-04-12,22.4,26.2,1962-04-12
478,1962-04-13,22.0,29.4,1962-04-13
479,1962-04-14,23.0,29.4,1962-04-14
480,1962-04-15,22.5,28.0,1962-04-15
481,1962-04-16,22.9,31.7,1962-04-16
482,1962-04-17,23.0,31.7,1962-04-17
483,1962-04-18,23.5,29.0,1962-04-18
484,1962-04-19,22.6,29.2,1962-04-19
485,1962-04-20,23.2,28.2,1962-04-20
486,1962-04-21,23.1,29.0,1962-04-21
487,1962-04-22,22.6,33.3,1962-04-22
488,1962-04-23,23.9,30.6,1962-04-23
489,1962-04-24,22.6,30.6,1962-04-24
490,1962-04-25,22.6,28.1,1962-04-25
491,1962-04-26,22.1,28.6,1962-04-26
492,1962-04-27,22.5,30.0,1962-04-27
493,1962-04-28,22.7,32.3,1962-04-28
494,1962-04-29,22.8,30.7,1962-04-29
495,1962-04-30,22.6,32.0,1962-04-30
496,1962-05-01,22.7,33.1,1962-05-01
497,1962-05-02,23.5,32.8,1962-05-02
498,1962-05-03,23.2,28.6,1962-05-03
499,1962-05-04,20.8,27.4,1962-05-04
500,1962-05-05,22.1,31.8,1962-05-05
501,1962-05-06,23.1,30.0,1962-05-06
502,1962-05-07,23.1,30.2,1962-05-07
503,1962-05-08,21.7,31.1,1962-05-08
504,1962-05-09,23.1,29.0,1962-05-09
505,1962-05-10,22.8,29.8,1962-05-10
506,1962-05-11,22.9,31.7,1962-05-11
507,1962-05-12,21.6,27.5,1962-05-12
508,1962-05-13,22.0,31.6,1962-05-13
509,1962-05-14,22.1,30.6,1962-05-14
510,1962-05-15,23.1,30.4,1962-05-15
511,1962-05-16,23.3,32.0,1962-05-16
512,1962-05-17,23.5,31.7,1962-05-17
513,1962-05-18,24.2,32.7,1962-05-18
514,1962-05-19,23.7,32.7,1962-05-19
515,1962-05-20,22.8,30.5,1962-05-20
516,1962-05-21,23.4,29.7,1962-05-21
517,1962-05-22,23.5,32.7,1962-05-22
518,1962-05-23,22.8,32.0,1962-05-23
519,1962-05-24,23.3,31.2,1962-05-24
520,1962-05-25,22.8,29.4,1962-05-25
521,1962-05-26,22.4,25.3,1962-05-26
522,1962-05-27,21.0,31.2,1962-05-27
523,1962-05-28,23.2,31.0,1962-05-28
524,1962-05-29,22.4,30.6,1962-05-29
525,1962-05-30,22.3,31.7,1962-05-30
526,1962-05-31,22.9,27.6,1962-05-31
527,1962-06-01,22.5,29.6,1962-06-01
528,1962-06-02,23.2,31.6,1962-06-02
529,1962-06-03,22.1,31.7,1962-06-03
530,1962-06-04,21.7,32.1,1962-06-04
531,1962-06-05,21.6,32.7,1962-06-05
532,1962-06-06,23.4,32.4,1962-06-06
533,1962-06-07,22.5,32.2,1962-06-07
534,1962-06-08,22.3,28.0,1962-06-08
535,1962-06-09,21.4,31.8,1962-06-09
536,1962-06-10,21.8,32.4,1962-06-10
537,1962-06-11,21.5,32.7,1962-06-11
538,1962-06-12,22.8,31.8,1962-06-12
539,1962-06-13,22.5,27.1,1962-06-13
540,1962-06-14,21.2,26.5,1962-06-14
541,1962-06-15,21.9,30.6,1962-06-15
542,1962-06-16,22.5,28.4,1962-06-16
543,1962-06-17,20.8,29.7,1962-06-17
544,1962-06-18,22.9,30.3,1962-06-18
545,1962-06-19,22.6,29.6,1962-06-19
546,1962-06-20,21.6,31.1,1962-06-20
547,1962-06-21,21.1,32.2,1962-06-21
548,1962-06-22,21.6,32.7,1962-06-22
549,1962-06-23,22.2,32.2,1962-06-23
550,1962-06-24,21.6,27.2,1962-06-24
551,1962-06-25,21.1,30.9,1962-06-25
552,1962-06-26,21.6,31.1,1962-06-26
553,1962-06-27,21.8,32.1,1962-06-27
554,1962-06-28,22.7,30.7,1962-06-28
555,1962-06-29,21.2,31.2,1962-06-29
556,1962-06-30,20.5,32.0,1962-06-30
557,1962-07-01,21.2,31.9,1962-07-01
558,1962-07-02,22.8,31.9,1962-07-02
559,1962-07-03,21.9,29.5,1962-07-03
560,1962-07-04,22.9,31.9,1962-07-04
561,1962-07-05,21.5,32.1,1962-07-05
562,1962-07-06,21.6,32.1,1962-07-06
563,1962-07-07,22.2,31.5,1962-07-07
564,1962-07-08,23.3,29.4,1962-07-08
565,1962-07-09,23.0,29.7,1962-07-09
566,1962-07-10,21.6,28.2,1962-07-10
567,1962-07-11,21.7,31.0,1962-07-11
568,1962-07-12,22.4,32.1,1962-07-12
569,1962-07-13,21.8,33.1,1962-07-13
570,1962-07-14,21.4,33.1,1962-07-14
571,1962-07-15,21.3,32.4,1962-07-15
572,1962-07-16,22.0,32.3,1962-07-16
573,1962-07-17,22.1,32.4,1962-07-17
574,1962-07-18,22.9,32.4,1962-07-18
575,1962-07-19,22.0,32.2,1962-07-19
576,1962-07-20,21.8,32.6,1962-07-20
577,1962-07-21,22.3,33.1,1962-07-21
578,1962-07-22,22.7,32.6,1962-07-22
579,1962-07-23,23.5,32.0,1962-07-23
